n,type,rep,greedy_len,greedy_time,christo_len,christo_time,opt_len,opt_time,lb
10,random,0,3.145922,0.000031,3.172754,0.002665,2.889901,0.007058,2.187541
10,random,1,2.505181,0.000054,2.308213,0.001538,2.245858,0.006449,1.805950
10,random,2,3.273699,0.000053,3.122373,0.001076,3.009415,0.006037,1.732136
10,random,3,3.959877,0.000071,3.283595,0.001281,3.283595,0.006230,2.326237
10,random,4,2.367422,0.000054,2.250797,0.001335,2.198996,0.006113,1.446434
10,random,5,2.580946,0.000034,2.580946,0.000605,2.580946,0.006179,2.143655
10,random,6,3.104693,0.000052,2.647922,0.000994,2.545651,0.006043,1.704920
10,random,7,2.524033,0.000028,2.389617,0.000918,2.279998,0.006127,1.502879
10,random,8,3.539935,0.000050,3.384856,0.001457,3.085853,0.006094,2.383331
10,random,9,3.402725,0.000029,3.279288,0.001268,2.895370,0.005978,2.207331
10,random,10,2.907690,0.000051,2.591977,0.001238,2.545358,0.006149,1.663865
10,random,11,3.389846,0.000050,3.557366,0.000734,3.318718,0.005910,2.203422
10,random,12,3.578098,0.000051,3.358746,0.001306,3.168426,0.060292,2.291855
10,random,13,2.714689,0.000029,2.567820,0.000690,2.567820,0.005986,1.757136
10,random,14,3.558843,0.000049,3.663092,0.001472,3.325228,0.006199,2.614657
10,random,15,3.072753,0.000053,2.730205,0.001104,2.730205,0.005948,1.878261
10,random,16,3.012645,0.000059,3.037352,0.001267,2.820145,0.006216,1.783665
10,random,17,2.578328,0.000029,2.529859,0.000910,2.306150,0.006124,1.509493
10,random,18,3.918071,0.000042,3.002212,0.000826,3.002212,0.006731,2.118003
10,random,19,3.122130,0.000036,3.260792,0.000828,3.122130,0.006732,2.376348
10,random,20,3.517138,0.000029,3.143462,0.000776,3.096715,0.006313,2.407108
10,random,21,3.746981,0.000028,3.531367,0.000852,3.304528,0.006893,2.098553
10,random,22,3.511972,0.000032,3.565959,0.001229,3.359983,0.006781,2.213657
10,random,23,2.736826,0.000036,2.707065,0.001790,2.487953,0.007601,1.592355
10,random,24,2.975715,0.000055,2.560636,0.001023,2.526711,0.006597,1.806889
10,random,25,2.561240,0.000037,2.418930,0.000652,2.285122,0.006509,1.637729
10,random,26,3.675958,0.000056,3.534515,0.001986,3.148098,0.006214,2.254797
10,random,27,3.218514,0.000043,3.118557,0.000831,3.118557,0.006273,2.419999
10,random,28,2.598622,0.000030,3.046331,0.000791,2.598622,0.006308,2.132461
10,random,29,3.090138,0.000031,3.019312,0.000713,3.019312,0.006450,2.236267
10,random,30,3.209077,0.000036,2.569961,0.001143,2.542787,0.007166,1.726751
10,random,31,2.665317,0.000029,2.782059,0.000753,2.665317,0.006236,2.090156
10,random,32,3.605900,0.000030,3.352880,0.001110,3.223765,0.006975,2.374089
10,random,33,4.038468,0.000056,3.617710,0.000777,3.223828,0.006240,2.262824
10,random,34,2.447125,0.000049,2.592677,0.001095,2.447125,0.006527,1.764829
10,random,35,2.721563,0.000056,2.391866,0.000873,2.269221,0.006180,1.774683
10,random,36,3.753081,0.000027,3.450546,0.000634,3.227440,0.006266,2.225529
10,random,37,2.505865,0.000053,2.465941,0.001505,2.317142,0.005990,1.531225
10,random,38,3.000215,0.000050,3.036545,0.001454,2.933269,0.006469,2.150103
10,random,39,3.929717,0.000050,3.998301,0.001341,3.654972,0.006057,2.420734
10,random,40,3.685540,0.000054,3.945313,0.001443,3.283286,0.006517,2.494327
10,random,41,3.615326,0.000027,3.464360,0.000788,3.221278,0.006063,2.361753
10,random,42,2.743577,0.000076,2.789165,0.001525,2.644704,0.006172,1.983639
10,random,43,4.040270,0.000050,3.490841,0.001408,3.283967,0.005995,2.445538
10,random,44,2.981639,0.000029,2.884461,0.000693,2.840806,0.006201,2.102770
10,random,45,3.858472,0.000051,3.004283,0.001251,2.927182,0.006140,2.416367
10,random,46,3.600358,0.000054,3.584945,0.000910,3.110436,0.006117,2.272702
10,random,47,3.524117,0.000051,3.257947,0.001436,2.954643,0.006216,2.161984
10,random,48,2.497855,0.000027,2.497855,0.000664,2.414628,0.006161,1.917297
10,random,49,3.184278,0.000050,2.977032,0.001618,2.670740,0.006177,1.806042
10,clustered,0,2.080587,0.000027,1.977877,0.000715,1.879995,0.006068,1.118786
10,clustered,1,1.480929,0.000049,1.510010,0.001020,1.472333,0.006206,0.981116
10,clustered,2,2.089498,0.000028,2.014526,0.000949,1.953525,0.006226,1.092765
10,clustered,3,1.651448,0.000048,1.544808,0.001026,1.527414,0.006507,0.977644
10,clustered,4,1.245878,0.000028,1.292610,0.000689,1.245878,0.006078,0.797878
10,clustered,5,2.273984,0.000050,2.077774,0.001293,2.066397,0.006652,1.280194
10,clustered,6,2.006884,0.000049,1.980730,0.000682,1.980730,0.006078,1.288492
10,clustered,7,1.440405,0.000049,1.444451,0.001165,1.411344,0.006173,0.822695
10,clustered,8,1.496019,0.000053,1.293486,0.001524,1.248454,0.006159,0.755919
10,clustered,9,1.764516,0.000070,1.694860,0.001508,1.685097,0.006100,0.996926
10,clustered,10,0.906731,0.000049,0.906731,0.001057,0.903048,0.006323,0.533506
10,clustered,11,2.517533,0.000027,2.530210,0.000892,2.447047,0.006089,1.448753
10,clustered,12,2.279162,0.000048,2.227572,0.001111,2.190795,0.006598,1.334093
10,clustered,13,1.946235,0.000026,1.582882,0.000790,1.490403,0.006025,0.982859
10,clustered,14,1.824789,0.000049,1.837164,0.001201,1.823906,0.006332,1.200365
10,clustered,15,1.452488,0.000027,1.335687,0.000879,1.292690,0.006151,0.765041
10,clustered,16,2.371260,0.000026,2.361678,0.000681,2.353171,0.006334,1.373744
10,clustered,17,2.254565,0.000026,2.152955,0.000884,1.965830,0.006043,1.231084
10,clustered,18,1.400627,0.000049,1.311176,0.001327,1.286894,0.006164,0.804945
10,clustered,19,2.646771,0.000030,2.610653,0.000882,2.567978,0.006096,1.498172
10,clustered,20,1.677501,0.000049,1.697488,0.001198,1.562444,0.006129,1.013230
10,clustered,21,1.960294,0.000029,1.939335,0.000649,1.854435,0.006019,1.112461
10,clustered,22,1.660636,0.000048,1.660636,0.001087,1.594001,0.007763,0.982274
10,clustered,23,2.432739,0.000028,2.375514,0.000737,2.358731,0.006304,1.460570
10,clustered,24,1.841642,0.000040,1.950899,0.000973,1.841326,0.006231,1.263351
10,clustered,25,1.222840,0.000027,1.238066,0.000709,1.188830,0.006479,0.683148
10,clustered,26,2.309152,0.000028,2.310635,0.000787,2.280278,0.006274,1.199627
10,clustered,27,2.060892,0.000027,2.059650,0.000885,1.997758,0.006300,1.203333
